Rk,Player,Nation,Pos,Goals,Shots,SoT,G/Sh,G/SoT,
1044,Gerard Gumbau,ESP,MF,0,1,0.21,0,0,
1045,Robert Gumny,POL,DF,1,0.35,0.21,0.2,0.33,
1046,Ýlkay Gündoðan,GER,MF,2,2.23,0.58,0.06,0.25,
1047,Christian Günter,GER,DFMF,0,1.07,0.31,0,0,
1048,Koray Günter,GER,DF,1,0.81,0.09,0.11,1,
1049,Gorka Guruzeta,ESP,FWMF,5,3.97,1.72,0.22,0.5,
1050,Malo Gusto,FRA,DF,0,0.38,0.13,0,0,
1051,Raúl Guti,ESP,MF,0,0.94,0.47,0,0,
1052,Miguel Gutiérrez,ESP,DF,0,0.65,0.06,0,0,
1053,Joško Gvardiol,CRO,DF,0,0.44,0.15,0,0,
1054,Darko Gyabi,ENG,FW,0,10,0,0,0,
1055,Emmanuel Gyasi,GHA,FWDF,1,1.29,0.47,0.05,0.13,
1056,Norbert Gyömbér,SVK,DF,0,0.22,0,0,0,
1057,Christian Gytkjær,DEN,FW,1,2.39,1.09,0.09,0.2,
1058,Erling Haaland,NOR,FW,25,3.85,1.98,0.3,0.58,
1059,Nicolas Haas,SUI,MF,1,0.65,0.32,0.17,0.33,
1060,Janik Haberer,GER,MF,5,1.58,0.72,0.23,0.5,
1061,Alexander Hack,GER,DF,0,0.25,0,0,0,
1062,Munir El Haddadi,MAR,MFFW,1,2.57,0.29,0.11,1,
1063,Jaouen Hadjam,FRA,DF,0,0.48,0,0,0,
1064,André Hahn,GER,FWMF,2,1.63,0.47,0.29,1,
1065,Amadou Haidara,MLI,MF,1,1.45,0.29,0.1,0.5,
1066,Massadio Haïdara,MLI,DFMF,0,0.42,0,0,0,
1067,Achraf Hakimi,MAR,DFMF,4,0.83,0.42,0.29,0.57,
1068,Lewis Hall,ENG,DFMF,0,1.47,0.59,0,0,
1069,Sébastien Haller,CIV,FW,1,1.48,0.74,0.25,0.5,
1070,Marcel Halstenberg,GER,DF,1,0.46,0.18,0.2,0.5,
1071,Mathis Hamdi,FRA,DF,0,0,0,0,0,
1072,Romain Hamouma,FRA,FWMF,2,1.59,0.43,0.18,0.67,
1073,Andreas Hanche-Olsen,NOR,DF,0,0.5,0.25,0,0,
1074,Samir Handanovi?,SVN,GK,0,0,0,0,0,
1075,Genki Haraguchi,JPN,MF,0,1,0,0,0,
1076,Genki Haraguchi,JPN,MF,0,1.09,0.18,0,0,
1077,Amine Harit,MAR,MFFW,0,1.05,0.53,0,0,
1078,Luke Harris,WAL,MFFW,0,0,0,0,0,
1079,Jack Harrison,ENG,FWMF,1,1.22,0.47,0.06,0.14,
1080,Abdou Harroui,NED,MF,1,2.73,0.91,0.11,0.33,
1081,Makoto Hasebe,JPN,DF,0,0,0,0,0,
1082,Hans Hateboer,NED,DF,1,0.77,0.26,0.08,0.25,
1083,Kai Havertz,GER,FWMF,5,2.32,0.96,0.12,0.29,
1084,Eden Hazard,BEL,FW,0,0.91,0,0,0,
1085,Thorgan Hazard,BEL,FWDF,0,1.54,0.58,0,0,
1086,Rhys Healey,WAL,FW,1,5.71,2.86,0.25,0.5,
1087,Jan Paul van Hecke,NED,DF,0,2.22,0,0,0,
1088,Jonas Hector,GER,DF,0,0.73,0.06,0,0,
1089,Hwang Hee-chan,KOR,FW,0,0.78,0.39,0,0,
1090,Gauthier Hein,FRA,MFFW,1,1.55,0.41,0.07,0.25,
1091,Dominique Heintz,GER,DF,0,0.26,0,0,0,
1092,Dean Henderson,ENG,GK,0,0,0,0,0,
1093,Jordan Henderson,ENG,MF,0,1.18,0.29,0,0,
1094,Liam Henderson,SCO,MF,0,0.92,0.53,0,0,
1095,Jack Hendry,SCO,DF,0,0,0,0,0,
