Rk,Player,Nation,Pos,Goals,Shots,SoT,G/Sh,G/SoT,
1341,Lukas Kübler,GER,DF,2,0.58,0.35,0.4,0.67,
1342,Takefusa Kubo,JPN,FWMF,3,2.52,1.22,0.09,0.18,
1343,Dejan Kulusevski,SWE,MFFW,2,1.67,0.48,0.1,0.33,
1344,Sael Kumbedi,FRA,DF,0,0.43,0.21,0,0,
1345,Marash Kumbulla,ALB,DF,0,0.67,0,0,0,
1346,Pierre Kunde,CMR,MF,1,1.36,0.45,0.33,1,
1347,Alou Kuol,AUS,FW,0,0,0,0,0,
1348,Layvin Kurzawa,FRA,DF,0,0,0,0,0,
1349,Khvicha Kvaratskhelia,GEO,FW,8,3.43,1.39,0.15,0.37,
1350,Grejohn Kyei,FRA,FW,3,2.17,0.83,0.12,0.3,
1351,Daniel Kyereh,GHA,MFFW,2,1.77,0.81,0.18,0.4,
1352,Giorgos Kyriakopoulos,GRE,FW,0,0,0,0,0,
1353,Giorgos Kyriakopoulos,GRE,FWDF,1,1.53,0.47,0.08,0.25,
1354,César de la Hoz,ESP,MF,1,0.42,0.11,0.25,1,
1355,Luca de la Torre,USA,MF,0,0.77,0.26,0,0,
1356,Rémy Labeau Lascary,GLP,FWMF,0,3.33,1.11,0,0,
1357,Gaëtan Laborde,FRA,FW,6,2.26,1.29,0.17,0.3,
1358,Gaëtan Laborde,FRA,FW,2,3.93,2.14,0.18,0.33,
1359,Alexandre Lacazette,FRA,FW,13,2.85,1.4,0.15,0.3,
1360,Qazim Laçi,ALB,MF,0,1.67,0,0,0,
1361,Maxence Lacroix,FRA,DF,1,0.27,0.09,0.33,1,
1362,Alban Lafont,FRA,GK,0,0,0,0,0,
1363,Aïssa Laïdouni,TUN,MF,0,0.83,0,0,0,
1364,Konrad Laimer,AUT,MF,0,1.07,0.27,0,0,
1365,Stefan Lainer,AUT,DF,0,1.05,0,0,0,
1366,Kenny Lala,FRA,DF,0,0.49,0.24,0,0,
1367,Adam Lallana,ENG,MFFW,2,1,0.63,0.25,0.4,
1368,Vassilis Lambropoulos,GRE,DF,0,0.95,0,0,0,
1369,Érik Lamela,ARG,FWMF,3,2.15,1.04,0.1,0.21,
1370,Mohamed Lamine Bayo,GUI,FWMF,3,3.46,1.54,0.17,0.38,
1371,Sam Lammers,NED,FW,0,1.89,0.19,0,0,
1372,Sam Lammers,NED,FW,1,2.86,0.71,0.04,0.14,
1373,Tariq Lamptey,GHA,DF,0,0.67,0,0,0,
1374,Manuel Lanzini,ARG,MFFW,0,1.43,0,0,0,
1375,Aymeric Laporte,ESP,DF,0,1.67,0,0,0,
1376,Julien Laporte,FRA,DF,0,0.35,0.12,0,0,
1377,Cyle Larin,CAN,FW,2,6,4,0.67,1,
1378,Juan Larios,ESP,DF,0,0,0,0,0,
1379,Yasser Larouci,ALG,DFFW,1,0.55,0.23,0.14,0.33,
1380,Jordan Larsson,SWE,FWMF,0,1.96,0,0,0,
1381,Kevin Lasagna,ITA,FWMF,1,3.15,0.65,0.03,0.13,
1382,Jamaal Lascelles,ENG,DF,0,0.83,0,0,0,
1383,Latasa,ESP,FWDF,0,6.67,2.5,0,0,
1384,Toni Lato,ESP,MFDF,1,1.15,0.16,0.14,1,
1385,Danny Latza,GER,MF,0,1.63,0,0,0,
1386,Armand Lauriente,FRA,FW,4,2.65,1.18,0.08,0.19,
1387,Armand Lauriente,FRA,FW,1,4.67,1.67,0.07,0.2,
1388,Roméo Lavia,BEL,MF,1,0.51,0.2,0.2,0.5,
1389,Lázaro,BRA,MFFW,1,1.07,0.36,0.33,1,
1390,Valentino Lazaro,AUT,DF,0,0.59,0.17,0,0,
1391,Marko Lazeti?,SRB,FW,0,10,0,0,0,
1392,Darko Lazovi?,SRB,DFMF,3,1.7,0.54,0.12,0.38,
1393,Manuel Lazzari,ITA,DF,0,0.22,0.07,0,0,
1394,Théo Le Bris,FRA,MFDF,2,0.85,0.38,0.22,0.5,
1395,Julien Le Cardinal,FRA,DF,0,5.56,2.22,0,0,
1396,Jérémy Le Douaron,FRA,FWMF,5,2.83,1.13,0.17,0.42,
1397,Enzo Le Fée,FRA,MF,4,1.36,0.75,0.14,0.25,
1398,Vincent Le Goff,FRA,DF,0,0.45,0.23,0,0,
1399,Maxime Le Marchand,FRA,DF,0,0.42,0,0,0,
1400,Robin Le Normand,FRA,DF,0,0.2,0.07,0,0,
1401,Rafael Leão,POR,FWMF,8,3.55,0.95,0.13,0.5,
1402,Paolo Lebas,POR,MF,0,0,0,0,0,
1403,Benjamin Lecomte,FRA,GK,0,0,0,0,0,
1404,Benjamin Lecomte,FRA,GK,0,0,0,0,0,
1405,Jeremías Ledesma,ARG,GK,0,0,0,0,0,
1406,Pierre Lees-Melou,FRA,MF,3,1.59,0.45,0.12,0.43,
1407,Diogo Leite,POR,DF,0,0.43,0,0,0,
1408,Maxim Leitsch,GER,DF,0,0.27,0.14,0,0,
1409,Florian Lejeune,FRA,DF,3,1.52,0.67,0.12,0.27,
1410,Iñigo Lekue,ESP,DF,0,0.7,0.08,0,0,
1411,Thomas Lemar,FRA,MF,0,0.81,0.41,0,0,
1412,Félix Lemaréchal,CIV,MF,0,0,0,0,0,
1413,Dexter Lembikisa,JAM,DF,0,0,0,0,0,
1414,Mario Lemina,GAB,MF,0,0.48,0,0,0,
1415,Mario Lemina,GAB,MFDF,0,0.65,0.32,0,0,
1416,Tim Lemperle,GER,FW,0,1.11,0,0,0,
1417,Clément Lenglet,FRA,DF,0,0.67,0,0,0,
1418,Bernd Leno,GER,GK,0,0,0,0,0,
1419,Christopher Lenz,GER,DF,0,1.03,0.29,0,0,
1420,Sergio León,ESP,FW,5,1.88,1.29,0.21,0.31,
1421,Johann Lepenant,FRA,MF,1,1.13,0.08,0.07,1,
1422,Mehdi Léris,ALG,MFDF,0,0.99,0.4,0,0,
1423,Jefferson Lerma,COL,MFDF,2,0.73,0.14,0.13,0.67,
1424,Benjamin Leroy,FRA,GK,0,0,0,0,0,
1425,Léo Leroy,FRA,MF,0,1.27,0.25,0,0,
1426,Ruan Levine,BRA,MF,0,10,10,0,0,
1427,Robert Lewandowski,POL,FW,14,4.32,2.23,0.22,0.42,
1428,Jamie Leweling,GER,FW,1,4.29,2.86,0.17,0.25,
1429,Jamal Lewis,NIR,DF,0,0,0,0,0,
1430,Rico Lewis,ENG,DFMF,0,0.2,0.2,0,0,
1431,Keane Lewis-Potter,ENG,FWMF,0,2.06,0.59,0,0,
1432,Dimitri Liénard,FRA,DFMF,0,1.03,0.19,0,0,
1433,Philipp Lienhart,AUT,DF,1,0.52,0.1,0.1,0.5,
1434,Matthijs de Ligt,NED,DF,1,0.67,0.44,0.11,0.17,
1435,Victor Lindelöf,SWE,DF,0,0,0,0,0,
1436,Jesper Lindstrøm,DEN,MFFW,7,2.54,1.12,0.21,0.47,
1437,Karol Linetty,POL,MF,1,0.8,0.29,0.09,0.25,
1438,Jesse Lingard,ENG,FWMF,0,1.04,0.21,0,0,
1439,Pol Lirola,ESP,DF,1,0.16,0.16,1,1,
1440,Mateusz Lis,POL,GK,0,0,0,0,0,
1441,Marcin Listkowski,POL,MFFW,0,1.11,0,0,0,
1442,Dejan Ljubicic,AUT,MF,3,2.12,0.71,0.17,0.5,
1443,Javier Llabrés,ESP,FW,0,0,0,0,0,
1444,Diego Llorente,ESP,DF,0,0.83,0,0,0,
1445,Diego Llorente,ESP,DF,0,0,0,0,0,
1446,Marcos Llorente,ESP,MFDF,1,1.06,0.18,0.08,0.5,
1447,Hugo Lloris,FRA,GK,0,0,0,0,0,
1448,Giovani Lo Celso,ARG,MFFW,1,2.24,0.52,0.08,0.33,
1449,Stanislav Lobotka,SVK,MF,1,0.26,0.1,0.2,0.5,
1450,Manuel Locatelli,ITA,MF,0,1.03,0.45,0,0,
1451,Luka Lochoshvili,GEO,DF,0,0.32,0.08,0,0,
1452,Banzouzi Locko,FRA,DF,0,0.42,0,0,0,
1453,Renan Lodi,BRA,DF,0,0.74,0,0,0,
1454,Ruben Loftus-Cheek,ENG,MFDF,0,0.78,0.17,0,0,
1455,Sean Longstaff,ENG,MF,1,1.07,0.32,0.05,0.17,
1456,Ademola Lookman,NGA,FWMF,12,2.64,1.04,0.24,0.6,
1457,Anthony Lopes,POR,GK,0,0,0,0,0,
1458,Rony Lopes,POR,MFFW,4,2.68,0.87,0.11,0.33,
1459,David López,ESP,DF,2,0.77,0.48,0.25,0.4,
1460,Diego López,ESP,GK,0,0,0,0,0,
1461,Maxime Lopez,FRA,MF,0,0.48,0.16,0,0,
1462,Pau López,ESP,GK,0,0,0,0,0,
1463,Unai López,ESP,MF,1,1.82,0.8,0.06,0.14,
1464,Dion Lopy,SEN,MF,0,0.74,0,0,0,
1465,Anthony Losilla,FRA,MF,0,0.66,0.2,0,0,
1466,Jordan Lotomba,SUI,DFMF,0,0.38,0.16,0,0,
1467,Matteo Lovato,ITA,DF,0,0.24,0,0,0,
1468,Dejan Lovren,CRO,DF,0,2.13,0.21,0,0,
1469,Sandi Lovri?,SVN,MF,2,3.1,0.43,0.06,0.4,
1470,Jamal Lowe,JAM,MFFW,0,0,0,0,0,
1471,Anthony Lozano,HON,FW,0,1.73,0.47,0,0,
1472,Hirving Lozano,MEX,FW,3,2.75,0.92,0.07,0.2,
1473,Pol Lozano,ESP,MF,0,0,0,0,0,
1474,Jean Lucas,BRA,MF,0,1.56,0.94,0,0,
1475,Jhon Lucumí,COL,DF,0,0.35,0.12,0,0,
1476,José Luis Gayà,ESP,DF,1,0.79,0.36,0.08,0.17,
1477,José Luis Morales,ESP,FWMF,1,2.58,1.52,0.06,0.1,
1478,José Luis Palomino,ARG,DF,1,0.68,0.45,0.33,0.5,
1479,Douglas Luiz,BRA,MF,2,1.07,0.38,0.12,0.33,
1480,Romelu Lukaku,BEL,FW,1,2.05,0.91,0.11,0.25,
1481,Castello Lukeba,FRA,DF,1,0.27,0.11,0.2,0.5,
1482,Dodi Lukebakio,BEL,FWMF,7,2.36,0.91,0.13,0.33,
1483,Saša Luki?,SRB,MF,0,0,0,0,0,
1484,Saša Luki?,SRB,MF,2,1.13,0.23,0.07,0.33,
1485,Andriy Lunin,UKR,GK,0,0,0,0,0,
1486,Andrey Lunyov,RUS,GK,0,0,0,0,0,
1487,Sebastiano Luperto,ITA,DF,1,0.32,0.16,0.17,0.33,
1488,Lyanco,BRA,DF,0,1.04,0.39,0,0,
1489,Charalambos Lykogiannis,GRE,DF,1,1.62,0.51,0.06,0.2,
1490,Youssouf M'Changama,COM,MF,0,1.59,0.14,0,0,
1491,Awer Mabil,AUS,MFFW,0,1.67,0.56,0,0,
1492,Alexis Mac Allister,ARG,MF,5,2.03,0.76,0.06,0.15,
1493,Deiver Machado,COL,DFMF,1,0.65,0.2,0.1,0.33,
1494,Darwin Machís,VEN,FW,0,1.5,0.5,0,0,
1495,James Maddison,ENG,MFFW,9,3.19,1.06,0.2,0.6,
1496,Noni Madueke,ENG,FW,0,1.67,0.83,0,0,
1497,Pablo Maffeo,ESP,DF,1,0.58,0.12,0.1,0.5,
1498,Lisandro Magallán,ARG,DF,0,0,0,0,0,
1499,Soungoutou Magassa,MLI,MF,0,0,0,0,0,
1500,Giulio Maggiore,ITA,MF,0,0.55,0,0,0,
1501,Giangiacomo Magnani,ITA,DF,0,0.85,0.21,0,0,
1502,Hugo Magnetti,FRA,MF,0,1.04,0.38,0,0,
1503,Yohann Magnin,FRA,MFDF,0,0.54,0,0,0,
1504,Harry Maguire,ENG,DF,0,0.23,0,0,0,
1505,Jon Magunacelaya,ESP,MFFW,0,1.43,1.43,0,0,
1506,Riyad Mahrez,ALG,FWMF,4,2.4,0.9,0.17,0.44,
1507,Arne Maier,GER,MF,1,1.36,0.29,0.07,0.33,
1508,Mike Maignan,FRA,GK,0,0,0,0,0,
1509,Linton Maina,GER,FWMF,2,1.89,0.66,0.09,0.25,
1510,Ainsley Maitland-Niles,ENG,MFDF,0,0,0,0,0,
1511,Lovro Majer,CRO,MFFW,1,1.8,0.34,0,0,
1512,Jean-Victor Makengo,FRA,MF,0,0.79,0,0,0,
1513,Jean-Victor Makengo,FRA,MF,0,0.71,0,0,0,
1514,Béni Makouana,CGO,FWMF,0,2.73,0.45,0,0,
1515,Nemanja Maksimovi?,SRB,MF,0,0.51,0.13,0,0,
1516,Tyrell Malacia,NED,DF,0,0.32,0.11,0,0,
1517,Lorenzo Malagrida,ITA,MF,0,10,10,0,0,
1518,Daniel Maldini,ITA,FWMF,1,1.94,1.11,0.14,0.25,
1519,Youssef Maleh,ITA,MF,0,2.12,0,0,0,
1520,Youssef Maleh,ITA,MF,0,1.5,0,0,0,
1521,Donyell Malen,NED,FW,0,2.64,1.32,0,0,
1522,Ruslan Malinovskyi,UKR,MFFW,1,3.11,0.98,0.05,0.17,
1523,Ruslan Malinovskyi,UKR,MFFW,1,3.41,0.73,0.07,0.33,
1524,Hugo Mallo,ESP,DF,0,0.9,0.3,0,0,
1525,Mickael Malsa,MTQ,MF,0,0,0,0,0,
1526,Giorgi Mamardashvili,GEO,GK,0,0,0,0,0,
1527,Hianga Mananga Mbock,FRA,MF,0,0,0,0,0,
1528,Gianluca Mancini,ITA,DF,0,0.64,0.1,0,0,
1529,Steve Mandanda,FRA,GK,0,0,0,0,0,
1530,Reinildo Mandava,MOZ,DF,0,0.33,0,0,0,
1531,Aïssa Mandi,ALG,DF,0,0.2,0.2,0,0,
1532,Rolando Mandragora,ITA,MF,1,2.16,0.39,0.05,0.25,
1533,Sadio Mané,SEN,FW,6,3.86,1.68,0.13,0.29,
1534,Orel Mangala,BEL,MF,0,0.78,0.13,0,0,
1535,Thomas Mangani,FRA,MF,1,0.61,0,0,0,
1536,Vito Mannone,ITA,GK,0,0,0,0,0,
1537,Javier Manquillo,ESP,DF,0,0,0,0,0,
1538,Myziane Maolida,FRA,FW,0,0,0,0,0,
1539,Myziane Maolida,FRA,FWMF,0,0,0,0,0,
1540,Faitout Maouassa,FRA,DFFW,1,1.14,0.38,0.07,0.2,
1541,Sekou Mara,FRA,FWMF,0,3.89,0.56,0,0,
1542,Maranhão,BRA,FWMF,1,3.54,0.42,0.06,0.5,
1543,Marcão,BRA,DF,0,0,0,0,0,
1544,Solly March,ENG,FWDF,5,2.34,0.9,0.11,0.28,
1545,Agustín Marchesín,ARG,GK,0,0,0,0,0,
1546,Vincent Marchetti,FRA,MF,0,1.41,0.38,0,0,
1547,Riccardo Marchizza,ITA,DF,0,0,0,0,0,
1548,Gian Marco Ferrari,ITA,DF,1,0.29,0.06,0.2,1,
1549,Emiliano Marcondes,DEN,MF,0,0,0,0,0,
1550,Óscar de Marcos,ESP,DF,0,0.06,0,0,0,
1551,José Mari,ESP,MF,0,0.56,0,0,0,
1552,Pablo Marí,ESP,DF,1,0.4,0.16,0.2,0.5,
1553,José María Giménez,URU,DF,0,1.25,0.36,0,0,
1554,Mariano,DOM,FW,0,6,0,0,0,
1555,Pablo Marín,ESP,MFFW,0,1.94,1.11,0,0,
1556,R?zvan Marin,ROU,MF,2,1.26,0.42,0.1,0.29,
1557,Guillermo Maripán,CHI,DF,3,0.73,0.24,0.25,0.75,
1558,Marlon,BRA,DF,0,0.25,0.08,0,0,
1559,Omar Marmoush,EGY,FW,3,2.95,1.02,0.12,0.33,
1560,Marquinhos,BRA,MF,0,0,0,0,0,
1561,Marquinhos,BRA,DF,2,0.59,0.2,0.17,0.5,
1562,Luca Marrone,ITA,DF,0,0.67,0,0,0,
1563,Eric Martel,GER,MF,0,1.05,0.26,0,0,
1564,Roger Martí,ESP,FW,0,0.82,0.27,0,0,
1565,Roger Martí,ESP,FW,0,0.59,0,0,0,
1566,Anthony Martial,FRA,FW,3,2.16,0.98,0.18,0.4,
1567,Aarón Martín,ESP,DF,3,0.82,0.25,0.23,0.75,
1568,Ander Martin,ESP,MFFW,0,0,0,0,0,
1569,Andrés Martín,ESP,FW,0,1.33,1.33,0,0,
1570,Iván Martín,ESP,MFFW,2,1.29,0.48,0.25,0.67,
1571,Jonas Martin,FRA,MF,0,0.48,0,0,0,
1572,Martinelli,BRA,FW,7,2.71,0.94,0.13,0.39,
1573,Arnau Martinez,ESP,DF,2,1,0.13,0.13,1,
1574,Emiliano Martínez,ARG,GK,0,0,0,0,0,
1575,Iñigo Martínez,ESP,DF,0,0.78,0.11,0,0,
1576,Lautaro Martínez,ARG,FW,12,3.92,1.51,0.15,0.39,
1577,Lisandro Martínez,ARG,DF,1,0.23,0.06,0.25,1,
1578,Lucas Martínez Quarta,ARG,DF,1,1.22,0.61,0.06,0.13,
1579,Roger Martínez,ESP,DF,0,10,0,0,0,
1580,Gelson Martins,POR,MFFW,0,3.24,0.81,0,0,
1581,Adam Maruši?,MNE,DF,0,0.52,0.28,0,0,
1582,Omar Mascarell,ESP,MF,0,0.29,0.06,0,0,
1583,Adam Masina,MAR,DF,1,0.29,0.29,1,1,
1584,Jordi Masip,ESP,GK,0,0,0,0,0,
1585,Erhan Mašovi?,SRB,DFMF,2,0.35,0.26,0.5,0.67,
1586,Han-Noah Massengo,FRA,MFDF,0,0.83,0,0,0,
1587,Yanis Massolin,FRA,MF,0,0,0,0,0,
1588,Jaime Mata,ESP,FW,0,2,0,0,0,
1589,Pape Matar Sarr,SEN,MF,0,0.67,0,0,0,
1590,Eliot Matazo,BEL,MFFW,0,0.17,0.17,0,0,
1591,Jean-Philippe Mateta,FRA,FW,1,3.16,1.05,0.06,0.17,
1592,Nemanja Mati?,SRB,MF,1,0.59,0.22,0.13,0.33,
1593,Joël Matip,CMR,DF,0,0,0,0,0,
1594,Henning Matriciani,GER,DF,0,0.1,0,0,0,
1595,Chrislain Matsima,FRA,DFMF,0,0.4,0,0,0,
1596,Azor Matusiwa,NED,MF,0,0.34,0.14,0,0,
1597,Neal Maupay,FRA,FW,1,2.03,0.89,0.06,0.14,
1598,Aïman Maurer,MAR,MF,0,1.25,1.25,0,0,
1599,Stephy Mavididi,ENG,FW,2,2.05,0.91,0.11,0.25,
1600,Konstantinos Mavropanos,GRE,DF,2,1.84,0.51,0.07,0.25,
1601,Christian Mawissa,FRA,DF,0,0,0,0,0,
1602,Philipp Max,GER,DF,0,1.25,0,0,0,
1603,Eric Maxim Choupo-Moting,CMR,FW,7,2.47,1.08,0.3,0.7,
1604,Luís Maximiano,POR,GK,0,0,0,0,0,
1605,Fernand Mayembo,CGO,DF,0,0.67,0,0,0,
1606,Borja Mayoral,ESP,FW,4,1.56,0.39,0.14,0.57,
1607,Noussair Mazraoui,MAR,DF,0,0.65,0,0,0,
1608,Pasquale Mazzocchi,ITA,DF,2,0.83,0.23,0.18,0.67,
1609,Kevin Mbabu,SUI,DFFW,0,0,0,0,0,
1610,Kylian Mbappé,FRA,FW,13,4.42,2.21,0.15,0.31,
1611,Mamadou Mbaye,SEN,DF,0,0.17,0,0,0,
1612,Chancel Mbemba,COD,DF,2,0.75,0.23,0.13,0.4,
1613,Bryan Mbeumo,CMR,FW,5,1.96,0.92,0.11,0.24,
1614,Jason Mbock,FRA,MFFW,0,0,0,0,0,
1615,Nathanael Mbuku,FRA,FWMF,0,2.86,0,0,0,
1616,John McGinn,SCO,MF,0,1.54,0.37,0,0,
1617,Scott McKenna,SCO,DF,0,0.12,0,0,0,
1618,Weston McKennie,USA,MF,0,0,0,0,0,
1619,Weston McKennie,USA,MFDF,1,0.68,0.34,0.13,0.25,
1620,Dwight McNeil,ENG,FWDF,2,1.19,0.18,0.15,1,
1621,Scott McTominay,SCO,MF,0,0.83,0.36,0,0,
1622,Gary Medel,CHI,MFDF,0,0.14,0,0,0,
1623,Facundo Medina,ARG,DF,1,0.42,0.11,0.13,0.5,
1624,Ben Mee,ENG,DF,3,0.74,0.2,0.2,0.75,
1625,Bamo Meïté,CIV,DF,0,0.36,0,0,0,
1626,Soualiho Meïté,FRA,MF,0,0.79,0.08,0,0,
1627,Farid El Melali,ALG,FWDF,0,1.36,0.23,0,0,
1628,Gonzalo Melero,ESP,MF,2,1.17,0.5,0.14,0.33,
1629,Birger Meling,NOR,DF,0,0,0,0,0,
1630,Memphis,NED,FW,1,4.62,2.31,0.17,0.33,
1631,Memphis,NED,FW,0,5,0,0,0,
1632,Houboulang Mendes,FRA,DF,0,0.13,0,0,0,
1633,Nuno Mendes,POR,DFMF,1,0.5,0.4,0.2,0.25,
1634,Thiago Mendes,BRA,DFMF,0,0.61,0.12,0,0,
1635,Brais Méndez,ESP,MF,7,2.36,0.93,0.18,0.47,
1636,Diego Méndez,ESP,MF,0,0,0,0,0,
1637,Antoine Mendy,FRA,DF,0,2.63,1.05,0,0,
1638,Arial Mendy,SEN,DF,0,0.8,0,0,0,
1639,Batista Mendy,FRA,MFDF,0,0.33,0,0,0,
1640,Edouard Mendy,SEN,GK,0,0,0,0,0,
1641,Ferland Mendy,FRA,DF,0,0.08,0,0,0,
1642,Nampalys Mendy,SEN,MF,1,0.43,0.21,0.5,1,
1643,Gideon Mensah,GHA,DF,0,0.16,0.08,0,0,
1644,Chris Mepham,WAL,DF,0,0.35,0.12,0,0,
1645,Alex Meret,ITA,GK,0,0,0,0,0,
1646,Mikel Merino,ESP,MF,1,1.68,0.7,0.04,0.1,
1647,Quentin Merlin,FRA,DF,0,0.85,0.21,0,0,
1648,Yýldýrým Mert Çetin,TUR,DF,0,0,0,0,0,
1649,Roque Mesa,ESP,MF,2,1.43,0.67,0.12,0.25,
1650,Illan Meslier,FRA,GK,0,0,0,0,0,
1651,Lionel Messi,ARG,MFFW,10,4.57,1.94,0.13,0.29,
1652,Junior Messias,BRA,FWDF,2,1.73,0.71,0.12,0.29,
1653,Thomas Meunier,BEL,DF,0,0.63,0,0,0,
1654,Alexander Meyer,GER,GK,0,0,0,0,0,
1655,Sven Michel,GER,FW,3,2.07,0.69,0.33,1,
1656,Alexander Mighten,ENG,FW,0,0,0,0,0,
1657,Tommaso Milanese,ITA,MF,0,0,0,0,0,
1658,Nikola Milenkovi?,SRB,DF,2,0.84,0.21,0.17,0.67,
1659,Arkadiusz Milik,POL,FW,6,2.64,1.45,0.21,0.38,
1660,Arkadiusz Milik,POL,FW,0,0.71,0,0,0,
1661,Sergej Milinkovi?-Savi?,SRB,MF,4,1.7,0.46,0.12,0.44,
1662,Vanja Milinkovi?-Savi?,SRB,GK,0,0,0,0,0,
1663,Éder Militão,BRA,DF,3,0.89,0.3,0.25,0.75,
1664,Luka Milivojevi?,SRB,MF,0,1.52,0,0,0,
1665,Luis Milla,ESP,MF,0,0.31,0.08,0,0,
1666,Pere Milla,ESP,FWMF,6,1.57,0.3,0.14,0.75,
1667,Enzo Millot,FRA,MF,0,1.54,0.77,0,0,
1668,James Milner,ENG,DFMF,0,0.98,0.16,0,0,
1669,Marko Milovanovi?,SRB,FW,0,5,0,0,0,
1670,Kim Min-jae,KOR,DF,2,0.26,0.1,0.4,1,
1671,Yerry Mina,COL,DF,1,1.15,0.77,0.33,0.5,
1672,Takumi Minamino,JPN,MFFW,1,1.89,0.94,0.1,0.2,
1673,Tyrone Mings,ENG,DF,0,0.05,0,0,0,
1674,Óscar Mingueza,ESP,DF,0,0.28,0,0,0,
1675,Rafa Mir,ESP,FW,3,3.76,1.06,0.09,0.33,
1676,Aleksei Miranchuk,RUS,MF,4,1.86,0.78,0.17,0.4,
1677,Juan Miranda,ESP,DF,0,0.67,0.33,0,0,
1678,Fabio Miretti,ITA,MFFW,0,1.85,0.54,0,0,
1679,Tyrick Mitchell,ENG,DF,0,0.19,0.06,0,0,
1680,Kaoru Mitoma,JPN,FWDF,5,1.84,1.07,0.26,0.45,
1681,Aleksandar Mitrovi?,SRB,FW,11,4.2,1.33,0.11,0.33,
1682,Stefan Mitrovi?,SRB,DF,0,0.09,0,0,0,
1683,Maximilian Mittelstädt,GER,DF,0,0.68,0,0,0,
1684,Henrikh Mkhitaryan,ARM,MF,1,1.02,0.08,0.08,1,
1685,Anthony Modeste,FRA,FW,2,2.53,1.08,0.1,0.22,
1686,Luka Modri?,CRO,MF,3,1.68,0.32,0.1,0.5,
1687,Terem Moffi,NGA,FW,0,0.56,0.56,0,0,
1688,Terem Moffi,NGA,FW,12,2.14,1.17,0.33,0.61,
1689,Mostafa Mohamed,EGY,FW,5,2.54,0.75,0.15,0.5,
1690,Tobias Mohr,GER,DFMF,0,1.15,0,0,0,
1691,Johan Mojica,COL,DF,0,0.2,0.2,0,0,
1692,Johan Mojica,COL,DFMF,0,1,0,0,0,
1693,Clinton Mola,ENG,DF,0,0,0,0,0,
1694,Nahuel Molina,ARG,DF,0,0.59,0.07,0,0,
1695,Salvatore Molina,ITA,DF,0,0.4,0,0,0,
1696,Florent Mollet,FRA,MFFW,0,1.18,0,0,0,
1697,Florent Mollet,FRA,MF,1,2.39,0.22,0.09,1,
1698,Jon Moncayola,ESP,MFFW,0,1.76,0.37,0,0,
1699,Monchu,ESP,MF,1,1.26,0.27,0.07,0.33,
1700,César Montes,MEX,DF,0,0.29,0,0,0,
1701,Daniele Montevago,ITA,FW,0,2.69,0.38,0,0,
1702,Gonzalo Montiel,ARG,DF,0,0.45,0.11,0,0,
1703,Lorenzo Montipò,ITA,GK,0,0,0,0,0,
1704,Martín Montoya,ESP,DF,0,0,0,0,0,
1705,Kieffer Moore,WAL,FW,4,1.37,0.48,0.24,0.67,
1706,Andrew Moran,IRL,FW,0,0,0,0,0,
1707,Álvaro Morata,ESP,FW,7,3.02,1.4,0.18,0.39,
1708,Jon Morcillo,ESP,FWMF,0,1.43,0,0,0,
1709,Alberto Moreno,ESP,DFFW,0,1.04,0.15,0,0,
1710,Álex Moreno,ESP,DF,0,2.5,0.42,0,0,
1711,Álex Moreno,ESP,DF,0,0.87,0.27,0,0,
1712,Diego Moreno,ESP,DF,0,0.87,0.22,0,0,
1713,Gerard Moreno,ESP,FW,5,2.75,1.18,0.14,0.33,
1714,Marlos Moreno,COL,MFDF,0,0,0,0,0,
1715,Tete Morente,ESP,MFDF,0,1.35,0.34,0,0,
1716,Ilaix Moriba,GUI,MF,0,2.06,0.63,0,0,
1717,Manu Morlanes,ESP,MF,0,0,0,0,0,
1718,Manu Morlanes,ESP,MF,0,0,0,0,0,
1719,Nikola Moro,CRO,MF,0,1.09,0.22,0,0,
1720,Loren Morón,ESP,FW,0,0,0,0,0,
1721,Cristhian Mosquera,COL,DF,0,1.25,0,0,0,
1722,Dany Mota,POR,FWMF,3,1.35,0.36,0.2,0.75,
1723,Lebo Mothiba,RSA,FWMF,2,2.07,0.69,0.33,1,
1724,Youssoufa Moukoko,GER,FW,6,2.76,1.52,0.21,0.38,
1725,Steve Mounié,BEN,FW,4,4.04,1.23,0.13,0.43,
1726,Mason Mount,ENG,MFFW,3,1.81,0.53,0.1,0.33,
1727,Lucas Moura,BRA,MFDF,0,0.91,0,0,0,
1728,Bevic Moussiti-Oko,CGO,FW,1,2.56,0.9,0.05,0.14,
1729,João Moutinho,POR,MF,0,0.77,0.06,0,0,
1730,João Moutinho,POR,DFFW,0,0,0,0,0,
1731,Samuel Moutoussamy,COD,MF,0,1.24,0.31,0,0,
1732,Divin Mubama,ENG,FW,0,0,0,0,0,
1733,Mykhailo Mudryk,UKR,FW,0,0.63,0,0,0,
1734,Nordi Mukiele,FRA,DF,0,0.89,0.18,0,0,
1735,Mert Müldür,TUR,DF,0,0,0,0,0,
1736,Florian Müller,GER,GK,0,0,0,0,0,
1737,Thomas Müller,GER,FWMF,4,2.44,1.44,0.18,0.31,
1738,Abdul Mumin,GHA,DF,0,0.48,0.48,0,0,
1739,Marshall Munetsi,ZIM,MF,3,2,0.63,0.09,0.3,
1740,Iker Muniain,ESP,MF,0,1.63,0.33,0,0,
1741,Aihen Muñoz,ESP,DF,0,0.36,0.12,0,0,
1742,Pablo Muñoz,ESP,MF,0,0,0,0,0,
