name,position,goals,shots
Kevin Volland,FW,14,55
Pierre-Emerick Aubameyang,FW,13,59
Yann Sommer,GK,0,0
Renato Steffen,FW,0,4
Denis Zakaria,MF,2,20
Jannik Vestergaard,DF,3,24
Marcel Tisserand,DF,0,6
Chadrac Akolo,FW,5,33
Senad Lulic,DF,0,6
Marco Parolo,DF,0,7
Borja Valero,MF,0,5
Emmanuel Rivière,FW,1,12
Christian Eriksen,MF,3,29
Fernando Forestieri,FW,1,11
Claudio Terzi,DF,1,5
Diego Godín,DF,1,11
Andreas Pereira,MF,1,14
Lukas Lerager,MF,0,4
Ragnar Klavan,DF,0,6
Gastón Brugman,MF,1,18
Lisandro Magallán,DF,1,8
Thomas Ouwejan,DF,0,6
Lennart Czyborra,DF,1,5
Wesley Hoedt,DF,0,2
Radja Nainggolan,MF,1,51
Sebastien De Maio,DF,0,6
Matteo Ricci,MF,0,21
Sam Lammers,FW,2,9
Amer Gojak,MF,1,8
Pau López,GK,0,0
Soualiho Meité,MF,1,15
Marlon Santos,DF,0,4
Yann Karamoh,FW,2,22
Maxime Busi,DF,0,7
Valentin Eysseric,MF,2,13
Bryan Dabo,MF,0,12
Andrea Poli,MF,1,3
Stefano Okaka,FW,4,24
Gervinho,FW,5,32
Achraf Hakimi,DF,7,38
Kostas Manolas,DF,0,8
Christian Kouamé,FW,1,17
Vladimir Golemic,DF,2,6
Cristiano Ronaldo,FW,29,167
Diogo Dalot,DF,1,10
Romelu Lukaku,FW,24,97
Takehiro Tomiyasu,DF,2,16
Adolfo Gaich,FW,2,24
Pierluigi Gollini,GK,0,0
Jakub Jankto,MF,6,39
Lyanco,DF,0,12
Cristian Romero,DF,2,14
Samir,GK,1,11
Juraj Kucka,MF,7,60
Marco Sportiello,GK,0,0
Gonzalo Villar,MF,0,10
Gonzalo Escalante,MF,1,8
Borja Mayoral,FW,10,39
David Ospina,GK,0,0
Aleksey Miranchuk,FW,4,15
Ruslan Malinovskiy,FW,8,67
Luis Muriel,FW,22,86
Duván Zapata,FW,15,98
Mario Pasalic,MF,6,20
Berat Gjimshiti,DF,0,21
Robin Gosens,DF,11,52
Hans Hateboer,DF,2,27
José Luis Palomino,DF,1,5
Rafael Toloi,DF,2,29
Roberto Piccoli,FW,5,15
Merih Demiral,DF,0,6
Giuseppe Pezzella,DF,1,7
Matteo Politano,FW,9,62
Hirving Lozano,FW,11,60
Mário Rui,DF,0,19
Fabián,MF,3,43
Piotr Zielinski,MF,8,60
Dries Mertens,FW,9,55
Diego Demme,MF,2,14
Amir Rrahmani,DF,1,5
Eljif Elmas,MF,2,14
Victor Osimhen,FW,10,66
Cristiano Biraghi,DF,1,26
Andrea Petagna,FW,4,24
Bartlomiej Dragowski,GK,0,0
Sofyan Amrabat,MF,0,10
José Callejón,FW,0,8
Davide Calabria,DF,2,24
Alessio Romagnoli,DF,1,15
Giacomo Bonaventura,MF,3,44
Erick Pulgar,MF,1,16
Alfred Duncan,MF,0,8
Riccardo Sottil,MF,2,24
Gaetano Castrovilli,MF,5,32
Lorenzo Venuti,DF,0,4
Theo Hernández,DF,7,48
Alexis Saelemaekers,FW,2,28
Tiemoué Bakayoko,MF,2,16
Samu Castillejo,FW,1,25
Franck Kessié,MF,13,49
Ante Rebic,FW,11,43
Fikayo Tomori,DF,1,5
Rafael Leão,FW,6,43
Andrea Masiello,DF,0,5
Salvatore Sirigu,GK,0,0
Mattia Bani,DF,0,11
Domenico Criscito,DF,1,6
Rade Krunic,MF,1,8
Junior Messias,MF,9,99
Nikola Maksimovic,DF,0,5
Hernani,MF,7,34
Patric,DF,0,7
Milan Badelj,MF,1,17
Felipe Caicedo,FW,8,31
Mattia Destro,FW,11,37
Ivan Radovanovic,DF,0,6
Goran Pandev,FW,7,20
Valon Behrami,MF,0,4
Paolo Ghiglione,DF,0,10
Ashley Young,DF,1,15
Stefan Radu,DF,0,7
Lucas Leiva,MF,0,12
Luis Alberto,MF,9,69
Ciro Immobile,FW,20,119
Pedro,DF,5,43
Manuel Lazzari,DF,2,24
Marco Silvestri,GK,0,0
Mattia Zaccagni,MF,6,31
Jean-Daniel Akpa-Akpro,MF,0,12
Vedat Muriqi,FW,1,31
Mattia Perin,GK,0,0
Wojciech Szczesny,GK,0,0
Tolgay Arslan,MF,3,22
Roberto Pereyra,MF,5,28
Jean-Victor Makengo,MF,0,4
Walace,MF,0,17
Bram Nuytinck,DF,1,4
Marvin Zeegelaar,DF,1,9
Ilija Nestorovski,FW,2,25
Arthur,MF,1,3
Adrien Rabiot,MF,4,33
Weston McKennie,MF,5,28
Danilo,FW,0,15
Giorgio Chiellini,DF,0,6
Daniele Rugani,DF,1,3
Rodrigo Bentancur,MF,0,15
Juan Cuadrado,DF,2,19
Aaron Ramsey,MF,2,24
Emil Audero,GK,0,0
Tommaso Augello,DF,1,8
Julian Chabot,DF,1,9
Antonio Candreva,MF,5,57
Tomás Rincón,MF,1,22
Bartosz Bereszynski,DF,1,3
Maya Yoshida,DF,1,11
Manolo Gabbiadini,FW,3,29
Fabio Quagliarella,FW,13,83
Andrea Consigli,GK,0,0
Giangiacomo Magnani,DF,0,13
Francesco Caputo,FW,11,43
Valerio Verre,MF,3,24
Gabriele Zappa,DF,0,11
Martín Cáceres,DF,2,15
Jeremy Toljan,DF,0,5
Mert Müldür,DF,0,15
Maxime Lopez,MF,2,10
Kaan Ayhan,DF,0,5
Gregoire Defrel,FW,3,22
Rogerio,DF,0,16
Jeremie Boga,FW,4,32
Luca Ceppitelli,DF,0,7
Charalampos Lykogiannis,DF,4,28
Hamed Junior Traore,FW,5,42
Edoardo Goldaniga,DF,0,8
Stefan de Vrij,DF,1,12
Gastón Pereiro,MF,2,14
Kevin Strootman,MF,0,6
Nahitan Nández,MF,2,32
João Pedro,FW,16,75
Leonardo Pavoletti,FW,4,44
Alex Cordaz,GK,0,0
Alberto Grassi,MF,0,11
Matteo Lovato,DF,0,1
Sebastian Walukiewicz,DF,0,3
Andrea Carboni,DF,0,5
Arturo Vidal,MF,1,21
Marcelo Brozovic,MF,2,25
Roberto Gagliardini,MF,3,17
Ivan Perisic,DF,4,36
Edin Dzeko,FW,7,70
Matteo Darmian,DF,3,9
Alexis Sánchez,FW,7,29
Hakan Calhanoglu,MF,4,84
Lorenzo Tonelli,DF,1,13
Stefano Sensi,MF,0,18
Riccardo Marchizza,DF,0,7
Alessandro Bastoni,DF,0,11
Federico Dimarco,DF,5,37
Sebastiano Luperto,DF,0,5
Rick Karsdorp,DF,1,13
Lorenzo Pellegrini,MF,7,70
Leonardo Spinazzola,DF,2,22
Chris Smalling,DF,0,7
Jordan Veretout,MF,10,40
Marash Kumbulla,DF,1,6
Federico Ceccherini,DF,0,12
Lorenzo Montipò,GK,0,0
Alessandro Tuia,DF,1,8
Fabio Depaoli,DF,0,10
Koray Günter,DF,0,6
Miguel Veloso,MF,2,12
Antonin Barak,MF,7,45
Pawel Dawidowicz,DF,0,15
Gianluca Frabotta,DF,0,5
Eldor Shomurodov,FW,8,38
Carles Pérez,FW,2,23
Nikola Kalinic,FW,2,24
Adrien Tameze,MF,1,18
Giovanni Simeone,FW,6,43
Gianluca Caprari,MF,5,48
Simone Bastoni,DF,1,21
Kevin Lasagna,FW,4,72
Ivan Provedel,GK,0,0
Ivan Ilic,MF,2,12
Salvador Ferrer,DF,0,3
Eddie Salcedo,FW,2,22
Mehdi Bourabia,MF,1,9
Arkadiusz Reca,DF,2,30
Kevin Agudelo,FW,1,19
Martin Erlic,DF,3,9
Giulio Maggiore,MF,3,40
Emmanuel Gyasi,FW,4,29
Daniele Verde,FW,6,33
Giuseppe Di Serio,FW,0,4
Kamil Glik,DF,2,28
Daam Foulon,DF,0,1
Marco Sau,MF,4,11
Gaetano Letizia,DF,3,13
Andrés Tello,MF,1,7
Riccardo Improta,MF,1,35
Roberto Insigne,MF,2,39
Federico Barba,DF,0,13
Gianluca Lapadula,FW,8,75
Diego Farias,FW,4,32
Jacopo Petriccione,MF,0,3
Gastón Ramírez,MF,0,12
Luca Caldirola,DF,2,7
Luca Marrone,DF,0,4
Salvatore Molina,MF,1,15
Luigi Sepe,GK,0,0
Simone Iacoponi,DF,0,3
Yordan Osorio,DF,0,7
Cristian Ansaldi,DF,1,18
Bremer,DF,5,26
Armando Izzo,DF,2,14
Pasquale Schiattarella,MF,1,11
Andrea Rispoli,DF,0,4
Simone Verdi,MF,1,41
Karol Linetty,MF,1,7
Mergim Vojvoda,DF,2,6
Marko Pjaca,FW,3,29
Koffi Djidji,DF,1,4
Daniele Baselli,GK,0,5
Simone Zaza,FW,6,57
Rolando Mandragora,MF,3,35
Mohamed Fares,DF,0,14
Milos Vulic,MF,1,17
Nahuel Estévez,MF,0,26
Rodrigo Palacio,FW,5,54
Mehdi Leris,DF,0,2
Ahmed Benali,MF,0,10
Niccolò Zanellato,MF,1,5
Lukasz Skorupski,GK,0,0
Nicolás Domínguez,MF,1,18
Adama Soumaoro,DF,1,8
Mitchell Dijks,DF,0,2
Roberto Soriano,MF,9,60
Riccardo Orsolini,FW,7,57
Lorenzo De Silvestri,DF,2,11
Nicolas Viola,MF,5,18
Emanuel Vignato,FW,1,23
Kevin Bonifazi,DF,0,17
Jerdy Schouten,MF,1,9
Franck Ribéry,FW,2,21
Perparim Hetemaj,MF,0,12
Riccardo Gagliolo,DF,2,19
Federico Bonazzoli,FW,2,25
Adam Ounas,MF,4,31
Ismael Bennacer,MF,0,12
Alberto Cerri,FW,1,16
Luca Vignali,DF,0,4
Kalidou Koulibaly,DF,0,11
Sergej Milinkovic-Savic,MF,7,63
Nikola Milenkovic,DF,3,22
Darko Lazovic,DF,3,33
Albin Ekdal,MF,2,14
Dusan Vlahovic,FW,21,86
Dejan Kulusevski,MF,4,34
Musa Barrow,FW,8,88
Omar Colley,DF,2,12
Mattias Svanberg,MF,5,58
Zlatan Ibrahimovic,FW,15,80
Ebrima Colley,FW,1,17
Milan Skriniar,DF,3,15
Vlad Chiriches,DF,2,12
Matthijs de Ligt,DF,1,19
Andreas Cornelius,FW,1,30
Miha Zajc,MF,1,19
Joakim Maehle,DF,0,21
Razvan Marin,MF,3,27
Jens Stryger Larsen,DF,2,23
Georgios Kyriakopoulos,DF,1,24
Marten de Roon,MF,1,17
Josip Ilicic,FW,6,59
Jasmin Kurtic,MF,4,35
Morten Thorsby,MF,3,22
Jens Petter Hauge,FW,2,7
Stanislav Lobotka,MF,0,0
Álvaro Morata,FW,11,56
Alex Meret,GK,0,0
Elseid Hysaj,DF,0,8
Leonardo Bonucci,DF,2,16
Gianluigi Donnarumma,GK,0,0
Ricardo Rodríguez,DF,0,13
Francesco Acerbi,DF,0,8
Adam Marusic,DF,2,27
Davide Zappacosta,DF,4,41
Remo Freuler,MF,2,20
Ardian Ismajli,DF,1,6
Andreas Skov Olsen,FW,2,30
Gianluca Mancini,DF,4,28
Gianmarco Ferrari,DF,0,25
Alessio Cragno,GK,0,0
Nicolò Barella,MF,3,36
Giovanni Di Lorenzo,DF,3,28
Lorenzo Insigne,FW,19,144
Bryan Cristante,DF,1,28
Federico Bernardeschi,DF,0,13
Juan Musso,GK,0,0
Germán Pezzella,DF,1,16
Rodrigo de Paul,MF,9,82
Lucas Martínez Quarta,DF,1,17
Nahuel Molina,DF,2,16
Federico Chiesa,MF,9,70
Matteo Pessina,MF,2,22
Andrea Belotti,FW,13,106
Manuel Locatelli,MF,4,42
Domenico Berardi,FW,17,113
Giacomo Raspadori,FW,6,24
Gianluca Scamacca,FW,8,47
Sandro Tonali,MF,0,10
Tommaso Pobega,MF,6,22
Lautaro Martínez,FW,17,109
Amadou Diawara,MF,1,7
Henrikh Mkhitaryan,FW,13,82
Bruno,DF,0,7
Beñat,MF,1,15
Ander Capa,DF,0,9
Markel Susaeta,FW,1,15
Aduriz,FW,2,19
David Zurutuza,MF,2,10
Alberto García,GK,0,0
Juanfran,DF,0,0
Ezequiel Garay,DF,2,13
Sebastián Cristóforo,MF,0,1
Ibai Gómez,FW,3,51
Burgui,MF,1,8
Iván Ramis,DF,0,15
Dimitrios Siovas,DF,1,21
Nabil El Zhar,MF,4,26
Michael Santos,FW,1,18
Sergio Álvarez,GK,0,2
Francis,DF,0,10
Santiago Cazorla,MF,4,31
Éver Banega,MF,3,32
Luis Advíncula,DF,1,17
Samuele Longo,FW,1,10
Iago Herrerín,GK,0,0
Esteban Granero,MF,3,30
Víctor Sánchez,MF,0,12
Sergio García,FW,2,35
Koke,GK,3,21
Álvaro Medrán,MF,3,24
Cristian Tello,DF,4,36
Hernán Pérez,FW,1,15
José Pozo,MF,3,22
Javi López,DF,0,7
Marc Muniesa,DF,0,7
Kevin Gameiro,FW,6,36
Franco Vázquez,MF,3,45
Leandro Cabrera,DF,2,22
Rubén Pérez,MF,0,11
David Costas,DF,0,2
Seydou Doumbia,FW,2,15
Sergi Gómez,DF,0,9
Luca Sangalli,MF,1,11
Diego López,GK,0,0
David López,DF,0,9
Dídac Vilá,DF,0,25
Sergi Enrich,FW,7,67
Fernando Calero,DF,1,10
Cristian Rivera,MF,2,14
Mouctar Diakhaby,DF,2,11
Denis Cheryshev,MF,2,32
Loren Morón,FW,6,59
Yangel Herrera,MF,0,14
Maxi Gómez,FW,13,81
Dimitri Foulquier,MF,3,13
Sergi Darder,MF,4,55
Óscar Melendo,MF,0,9
Pablo De Blasis,DF,2,12
Antonio Luna,DF,0,3
Pedro Alcalá,DF,1,15
Adrián Embarba,FW,5,49
Álex Gallar,MF,4,27
Jaume Costa,DF,1,13
Rubén Pardo,MF,1,21
Anaitz Arbilla,DF,1,18
Unai Bustinza,DF,0,6
Recio,MF,0,10
Toño,DF,1,14
Óscar Rodríguez,MF,4,61
Adnan Januzaj,FW,1,32
Aritz Elustondo,DF,1,10
Zaldúa,DF,1,5
Asier Illarramendi,MF,1,14
Igor Zubeldia,MF,0,15
Jon Bautista,FW,1,20
Rubén Blanco,GK,0,0
Cristhian Stuani,FW,19,79
Santi Mina,FW,7,43
Luis Suárez,FW,21,112
Roque Mesa,MF,2,28
Hugo Mallo,DF,1,24
Fran Beltrán,MF,1,17
Okay Yokuslu,MF,2,18
Iago Aspas,FW,20,70
Jordi Masip,GK,0,0
Kiko Olivas,DF,0,5
Rubén Alcaraz,MF,3,52
Raúl García,DF,0,7
Javi Galán,DF,0,2
Marc Bartra,DF,1,10
Sergio Canales,MF,7,66
Joaquín,MF,6,23
Sergio León,FW,0,13
Víctor Ruiz,DF,0,8
Borja Iglesias,FW,17,89
Óscar Plano,MF,3,46
Álex Moreno,DF,1,26
Sergio Ramos,DF,6,31
Sergi Guardiola,FW,3,48
Anthony Lozano,FW,0,23
Santiago Comesaña,MF,1,8
Álvaro García,FW,4,27
Óscar Trejo,MF,1,20
Rubén Sobrino,FW,3,23
Darko Brasanac,MF,0,9
Iván Cuéllar,GK,0,0
David Juncà,DF,0,6
Jonás Ramalho,DF,1,7
Juanpe,DF,0,22
Aleix García,MF,2,19
Ezequiel Ávila,FW,10,89
Yeray Álvarez,DF,0,11
Iñaki Williams,FW,13,75
Mikel Vesga,MF,1,13
Antonio Sanabria,FW,2,17
Daniel Carriço,DF,1,8
Francisco Portillo,MF,1,9
Pablo Piatti,FW,1,15
Gerard Gumbau,MF,1,19
Guido Carrillo,FW,6,59
Jorge Pulido,DF,3,19
David Ferreiro,FW,1,36
Santiago Arias,DF,1,9
Carlos Bacca,FW,6,31
Sergio Escudero,DF,0,27
Jorge Molina,FW,14,57
Fernando Pacheco,GK,0,0
Rubén Rochina,MF,4,46
Roberto Santamaría,GK,0,0
Enric Gallego,FW,5,32
David Soria,GK,0,0
Martín Aguirregabiria,DF,0,1
Rubén Duarte,DF,0,24
Víctor Laguardia,DF,1,17
Ximo Navarro,DF,2,13
John Guidetti,FW,2,10
Gonzalo Escalante,MF,4,21
Jonathan Silva,DF,3,23
Erick Cabaco,DF,2,10
Jason,MF,2,32
Pere Pons,MF,1,19
Vitolo,MF,0,8
Carles Aleñá,MF,2,14
Pau López,GK,0,0
Álvaro González,DF,1,14
Ibrahim Amadou,MF,0,9
Jaime Mata,FW,14,59
Sandro Ramírez,FW,0,42
Papakouly Diop,MF,1,36
Borja Mayoral,FW,3,24
Enes Ünal,FW,6,53
Rober,MF,1,8
Ryad Boudebouz,MF,1,21
Aitor Fernández,GK,0,0
Rúben Vezo,DF,2,9
Sergio Postigo,DF,1,7
Roger,DF,13,70
Nikola Vukcevic,MF,0,0
Jorge Miramón,DF,1,12
Gonzalo Melero,MF,2,23
Sergio Busquets,MF,0,8
Andrés Guardado,MF,0,26
Karl Toko Ekambi,FW,10,59
Sofiane Boufal,MF,3,51
Kenneth Omeruo,DF,0,3
Moses Simon,DF,0,15
Néstor Araújo,DF,3,12
Damián Suárez,DF,0,15
Mauro Arambarri,MF,1,29
Jozabed,MF,0,11
Patrick Roberts,FW,0,7
Daniel Wass,DF,1,28
William Carvalho,MF,0,10
Iñigo Martínez,DF,0,24
Nemanja Maksimovic,MF,1,33
Brais Méndez,MF,6,70
Enis Bardhi,MF,3,66
Stole Dimitrievski,GK,0,0
Raúl de Tomás,FW,14,115
Diego Godín,DF,3,14
Gabriel Mercado,DF,2,12
Takashi Inui,FW,2,29
Emmanuel Boateng,FW,1,19
Jonathan Calleri,FW,9,81
Fabián Orellana,MF,3,78
Javi Moyano,DF,0,6
Emiliano Velázquez,DF,0,8
Jan Oblak,GK,0,0
Stefan Savic,DF,0,7
Thomas Lemar,MF,2,26
Lionel Messi,FW,36,170
Geoffrey Kondogbia,MF,1,22
Carlos Soler,MF,2,41
Mario Hermoso,DF,3,27
Mikel Merino,MF,3,24
Mikel Oyarzabal,FW,13,66
Javi Puado,FW,0,8
Damián Musto,MF,0,14
Antoine Griezmann,FW,15,113
Thibaut Courtois,GK,0,1
Daniel Carvajal,DF,1,11
Nacho,DF,0,5
Marcelo,DF,2,35
Isco,MF,3,25
Marco Asensio,FW,1,45
Casemiro,MF,3,40
Dani Ceballos,MF,3,22
Toni Kroos,MF,0,30
Luka Modric,MF,3,37
Federico Valverde,MF,0,7
Lucas Vázquez,FW,1,24
Karim Benzema,FW,21,104
Michy Batshuayi,FW,1,17
Marc-André ter Stegen,GK,0,0
Jordi Alba,DF,2,14
Clement Lenglet,DF,1,6
Gerard Piqué,DF,4,18
Sergi Roberto,DF,0,9
Ousmane Dembélé,FW,8,39
Gareth Bale,FW,8,76
Vinícius Júnior,FW,2,42
Neto,GK,0,0
Ferrán Torres,MF,2,17
Sergio Asenjo,GK,0,0
Martin Braithwaite,FW,4,29
Gerónimo Rulli,GK,0,0
Ivan Rakitic,MF,3,36
Francis Coquelin,MF,0,9
Daniel Parejo,MF,9,44
Aissa Mandi,DF,1,6
Santiago Cáseres,MF,0,5
Samuel Chukwueze,FW,5,58
Vicente Iborra,MF,3,18
Manu Trigueros,MF,0,18
Gerard Moreno,FW,8,72
Jesús Navas,DF,1,32
Marko Dmitrovic,GK,0,0
Joan Jordán,MF,4,58
Rubén Peña,DF,1,22
Moi Gómez,MF,2,25
Thomas Partey,MF,3,36
Cristiano Piccini,DF,1,12
Tomás Vaclik,GK,0,0
Wissam Ben Yedder,FW,18,76
Guillermo Maripán,DF,2,15
Iñigo Córdoba,FW,0,23
Marc Cardona,FW,3,17
Youssef En-Nesyri,FW,9,74
Pione Sisto,FW,2,18
Duje Cop,FW,0,16
Philippe Coutinho,FW,5,69
Rodrigo,DF,8,81
Júnior Firpo,DF,3,19
Héctor Moreno,DF,1,6
Diego Llorente,DF,0,6
Marc Roca,MF,1,23
Diego Rolan,FW,0,10
Cabral,DF,0,17
Douglas Luiz,MF,0,16
Saúl Ñíguez,MF,4,51
Malcom,FW,1,11
Raphael Varane,DF,2,19
Facundo Roncaglia,DF,0,4
Zouhair Feddal,DF,1,15
Pablo Fornals,MF,2,57
Quincy Promes,DF,2,31
Roberto Rosales,DF,3,19
Manu García,MF,1,28
Andrew Hjulsager,MF,0,2
Pedro Porro,DF,0,23
Jordi Amat,DF,0,5
Rodri,MF,3,27
Arturo Vidal,MF,3,24
Simon Kjaer,DF,0,13
Pablo Sarabia,MF,12,74
Vitorino Antunes,DF,1,29
Theo Hernández,DF,1,24
Abdoulaye Ba,DF,1,9
Giannelli Imbula,MF,1,21
Nikola Kalinic,FW,2,9
Álvaro Morata,FW,6,30
Arthur,MF,0,6
Giovani Lo Celso,MF,9,64
Jony,MF,5,54
Marc Cucurella,MF,1,22
Stanislav Lobotka,MF,0,11
Daniele Verde,FW,2,24
Hal Robson-Kanu,FW,2,13
Alireza Jahanbakhsh,FW,0,18
Joachim Andersen,DF,1,13
Vicente Guaita,GK,0,0
Jeffrey Schlupp,MF,2,18
Joel Ward,DF,0,2
James McArthur,MF,0,6
Luka Milivojevic,MF,1,19
Eberechi Eze,MF,4,37
Aaron Connolly,FW,2,23
Tyrick Mitchell,DF,1,2
Christian Benteke,FW,10,71
Jairo Riedewald,MF,2,8
Vitinha,MF,0,8
Toby Alderweireld,DF,1,10
James Rodríguez,FW,6,37
Josh Maja,FW,3,21
Willian,FW,1,20
Mbaye Diagne,FW,3,25
Michy Batshuayi,FW,2,12
Jordan Ayew,FW,1,26
Patrick van Aanholt,DF,0,18
Ezgjan Alioski,DF,2,25
Serge Aurier,DF,2,15
Erik Lamela,FW,1,21
Dani Ceballos,MF,0,13
Gareth Bale,FW,11,38
Ferrán Torres,FW,7,36
Héctor Bellerín,DF,1,15
Sébastien Haller,FW,3,25
Wilfried Zaha,FW,11,60
Hélder Costa,MF,3,16
Okay Yokuslu,MF,0,12
Christian Pulisic,FW,4,43
Thiago Silva,DF,2,13
Mateo Kovacic,MF,0,23
Ruben Loftus-Cheek,FW,1,35
John Lundstram,MF,0,20
Pablo Hernández,MF,0,15
Hugo Lloris,GK,0,0
Ben Davies,DF,0,3
Davinson Sánchez,DF,0,5
Dele Alli,MF,0,12
Eric Dier,DF,0,14
Harry Winks,MF,0,4
Son Heung-Min,FW,17,68
Hakim Ziyech,FW,2,35
Sergio Reguilón,DF,0,20
Timo Werner,FW,6,80
Ross Barkley,MF,3,39
Callum Hudson-Odoi,FW,2,23
Pierre-Emile Højbjerg,MF,2,14
Matt Doherty,DF,0,3
Mason Mount,MF,6,82
Alisson,GK,1,1
Andrew Robertson,DF,1,19
Fabinho,DF,0,10
Nathaniel Phillips,DF,1,15
Thomas Partey,MF,0,26
Jordan Henderson,MF,1,14
Curtis Jones,MF,1,19
James Milner,MF,0,12
Roberto Firmino,FW,9,83
Mohamed Salah,FW,22,126
Thiago Alcántara,MF,1,22
Kieran Tierney,DF,1,15
Rob Holding,DF,0,14
James McCarthy,MF,0,1
Ben White,DF,0,10
Alphonse Areola,GK,0,0
Mohamed Elneny,MF,1,9
Granit Xhaka,MF,1,21
Alexandre Lacazette,FW,13,45
Eddie Nketiah,FW,2,12
Lukasz Fabianski,GK,0,0
Nicolas Pepe,FW,10,47
Romaine Sawyers,MF,0,4
Vladimir Coufal,DF,0,15
Manuel Lanzini,MF,1,12
Kurt Zouma,DF,5,27
Aaron Cresswell,DF,0,19
Issa Diop,DF,2,3
Angelo Ogbonna,DF,3,13
Michail Antonio,FW,10,63
Mark Noble,MF,0,1
Andriy Yarmolenko,FW,0,7
Craig Dawson,DF,3,16
Rúben Dias,DF,1,14
Ederson,DF,0,0
Kevin De Bruyne,MF,6,81
Bernardo Silva,MF,2,28
Fernandinho,DF,0,14
Oleksandr Zinchenko,DF,0,16
Gabriel Jesus,FW,9,55
Raheem Sterling,FW,10,70
João Cancelo,DF,2,35
Declan Rice,MF,2,28
Jack Grealish,FW,6,50
Jarrod Bowen,FW,8,55
James Justin,DF,2,9
Kelechi Iheanacho,FW,12,59
Timothy Castagne,DF,2,8
Youri Tielemans,MF,6,48
Ademola Lookman,FW,4,69
Ricardo Pereira,DF,0,7
Caglar Söyüncü,DF,1,10
Marc Albrighton,DF,1,21
Harvey Barnes,FW,9,56
James Maddison,MF,8,75
Wilfred Ndidi,MF,1,16
Jamie Vardy,FW,15,82
Ayoze Pérez,MF,2,31
Ryan Bertrand,DF,0,8
Wesley Fofana,DF,0,11
Adam Lallana,MF,1,22
Joël Veltman,DF,1,14
Leandro Trossard,FW,5,58
Steven Alzate,MF,1,7
Nick Pope,GK,0,0
Dan Burn,DF,1,17
Lewis Dunk,DF,5,32
Pascal Groß,MF,3,32
Solly March,DF,2,22
Adam Webster,DF,1,25
Neal Maupay,FW,8,71
Johann Berg Gudmundsson,MF,2,19
James Tarkowski,DF,1,23
Matthew Lowton,DF,1,21
Ben Mee,DF,2,22
Charlie Taylor,DF,0,3
Jack Cork,MF,0,5
Ashley Westwood,MF,3,19
Ashley Barnes,FW,3,38
Dwight McNeil,MF,2,27
Matej Vydra,FW,3,35
Jay Rodriguez,FW,1,31
Josh Brownhill,MF,0,34
Erik Pieters,DF,0,4
Kenny Tete,DF,0,7
Bobby Reid,MF,5,34
Joe Bryan,DF,1,8
Tosin Adarabioyo,DF,0,18
Harrison Reed,MF,0,13
Antonee Robinson,DF,0,10
Moussa Sissoko,MF,0,3
Mateusz Klich,MF,4,36
Luke Ayling,DF,0,24
Liam Cooper,DF,1,15
Jack Harrison,MF,8,46
Patrick Bamford,FW,17,107
Tyler Roberts,MF,1,26
Daniel James,FW,3,17
Illan Meslier,GK,0,0
Robin Koch,DF,0,9
Pascal Struijk,DF,1,13
Oliver McBurnie,FW,1,30
George Baldock,DF,0,14
Chris Basham,DF,0,10
John Egan,DF,0,14
Enda Stevens,DF,0,16
John Fleck,MF,0,17
Oliver Norwood,MF,0,11
Jayden Bogle,DF,2,17
Ben Osborn,MF,1,10
Kyle Walker-Peters,DF,0,18
Rhian Brewster,FW,0,25
Jan Bednarek,DF,1,10
Alex McCarthy,GK,0,0
Jack Stephens,DF,0,6
Oriol Romeu,MF,1,14
David McGoldrick,FW,8,71
Billy Sharp,FW,3,9
Luke Shaw,DF,1,11
James Ward-Prowse,MF,8,43
Theo Walcott,FW,3,29
Aaron Wan-Bissaka,DF,2,7
Stuart Armstrong,MF,4,54
Nathan Redmond,MF,2,45
Che Adams,FW,9,55
Ibrahima Diallo,MF,0,7
Nathan Tella,FW,1,17
Edinson Cavani,FW,10,34
Mason Greenwood,FW,7,67
Jesse Lingard,MF,9,42
Nemanja Matic,MF,0,6
Scott McTominay,MF,4,26
Paul Pogba,MF,3,31
Fred,MF,1,25
Anthony Martial,FW,4,42
Marcus Rashford,FW,11,79
Bruno Fernandes,MF,18,121
Romain Saiss,DF,3,28
Leander Dendoncker,MF,1,31
Adama Traoré,FW,2,43
Allan,DF,0,7
Ethan Ampadu,DF,0,7
Yerry Mina,DF,2,17
Gylfi Sigurdsson,MF,6,49
Michael Keane,DF,3,16
Seamus Coleman,DF,0,12
André Gomes,MF,0,14
Abdoulaye Doucouré,MF,2,18
Andros Townsend,MF,1,36
Ben Godfrey,DF,0,14
Mason Holgate,DF,1,5
Alex Iwobi,FW,1,15
Olivier Giroud,FW,4,29
Richarlison,FW,7,81
Tom Davies,MF,0,7
Dominic Calvert-Lewin,FW,16,83
Matt Targett,DF,0,6
Anwar El Ghazi,FW,10,64
Trézéguet,FW,2,35
Lucas Digne,DF,0,13
Danny Ings,FW,12,57
John McGinn,MF,3,45
Jacob Ramsey,MF,0,11
Matthew Cash,DF,0,9
Ollie Watkins,FW,14,98
Douglas Luiz,MF,0,26
Ainsley Maitland-Niles,DF,0,12
Karl Darlow,GK,0,0
Ciaran Clark,DF,1,8
Paul Dummett,DF,1,3
Federico Fernández,DF,0,4
Jamaal Lascelles,DF,2,16
Jonjo Shelvey,MF,1,42
Keinan Davis,FW,1,9
Joelinton,FW,4,43
Miguel Almirón,MF,4,33
Callum Wilson,FW,12,49
Ryan Fraser,FW,0,13
